id,category,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Philosophy & History of Technical Analysis,Analisis teknikal adalah metode analisis yang bertujuan untuk:,Menilai kinerja manajemen,Memprediksi harga berdasarkan laporan keuangan,Memprediksi pergerakan harga berdasarkan data pasar,Menentukan nilai intrinsik saham,C,"Analisis teknikal adalah metode analisis yang bertujuan untuk memprediksi pergerakan harga di masa depan berdasarkan data pasar yang telah terjadi, seperti harga historis, volume perdagangan, dan pola grafik, dengan asumsi bahwa semua informasi sudah tercermin dalam harga dan perilaku pasar cenderung berulang."
2,Philosophy & History of Technical Analysis,Data utama yang digunakan dalam analisis teknikal adalah:,EPS dan ROE,"Harga, volume, dan waktu",Neraca dan arus kas,Suku bunga dan inflasi,B,"Data utama yang digunakan dalam analisis teknikal adalah harga, volume, dan waktu karena analisis ini memfokuskan diri pada studi pola pergerakan harga historis, volume perdagangan, serta faktor waktu pada chart untuk memprediksi arah harga di masa depan dengan asumsi bahwa semua informasi sudah tercermin dalam harga pasar."
3,Philosophy & History of Technical Analysis,"Prinsip ""price discounts everything"" berarti:",Harga selalu benar,Harga mencerminkan semua informasi pasar,Harga selalu naik,Harga hanya dipengaruhi emosi,B,"Prinsip ""price discounts everything"" berarti bahwa harga pasar saat ini sudah mencerminkan dan menggabungkan semua informasi yang tersedia, baik informasi fundamental, ekonomi, politik, maupun berita publik, sehingga analis teknikal tidak perlu lagi menganalisis faktor-faktor eksternal tersebut secara terpisah melainkan cukup mempelajari perilaku harga itu sendiri."
4,Philosophy & History of Technical Analysis,Analisis teknikal paling efektif digunakan pada pasar yang:,Tidak likuid,Sangat dikontrol,Likuid dan transparan,Tidak memiliki volume,C,"Analisis teknikal paling efektif digunakan pada pasar yang likuid dan transparan karena di pasar seperti itu harga terbentuk secara alami melalui partisipasi banyak pelaku pasar, volume perdagangan tinggi, dan transparansi informasi yang baik, sehingga pola harga, tren, serta level support dan resistance menjadi lebih reliable dan dapat diandalkan untuk memprediksi pergerakan harga di masa depan."
5,Dow Theory & Market Cycles,Dow Theory menyatakan bahwa pasar bergerak dalam:,2 jenis tren,3 jenis tren,4 jenis tren,5 jenis tren,B,"Dow Theory menyatakan bahwa pasar bergerak dalam 3 jenis tren, yaitu tren primer (utama/jangka panjang), tren sekunder (menengah/koreksi), dan tren minor (jangka pendek/harian), di mana tren primer merupakan arah utama pasar yang paling penting, sementara tren sekunder dan minor berfungsi sebagai gelombang koreksi atau fluktuasi di dalam tren yang lebih besar."
6,Dow Theory & Market Cycles,Tren utama menurut Dow Theory berlangsung:,Harian,Mingguan,Bulanan hingga tahunan,Intraday,C,"Tren utama (primary trend) menurut Dow Theory berlangsung dari bulanan hingga tahunan karena ia merupakan tren besar dan paling penting yang mencerminkan arah pasar secara keseluruhan, di mana tren ini biasanya bertahan antara beberapa bulan sampai beberapa tahun, sementara tren sekunder dan minor hanya berfungsi sebagai koreksi di dalam tren utama tersebut."
7,Dow Theory & Market Cycles,Tren bullish ditandai oleh:,Lower High - Lower Low,Higher High - Higher Low,Equal High - Equal Low,Sideways,B,"Tren bullish ditandai oleh pola Higher High - Higher Low karena dalam tren naik ini, harga secara konsisten membentuk puncak-puncak yang semakin tinggi (higher highs) dan lembah-lembah yang juga semakin tinggi (higher lows), menunjukkan kekuatan pembeli yang terus mendominasi pasar dan mendorong harga ke arah yang lebih tinggi secara keseluruhan."
8,Dow Theory & Market Cycles,Tren dianggap valid sampai:,Volume turun,Terjadi koreksi kecil,Ada sinyal pembalikan jelas,Harga stagnan,C,"Tren dianggap valid sampai ada sinyal pembalikan yang jelas karena menurut Dow Theory, suatu tren (baik naik maupun turun) tetap berlaku dan harus diikuti selama belum terkonfirmasi adanya perubahan arah tren yang jelas, seperti terbentuknya higher high-lower low pada tren naik atau lower high-lower low pada tren turun."
9,Dow Theory & Market Cycles,Higher Low menunjukkan indikasi:,Pelemahan tren,Konsolidasi,Penguatan tren naik,Reversal bearish,C,"Higher Low menunjukkan indikasi penguatan tren naik karena pola ini mencerminkan bahwa harga membentuk level terendah yang semakin tinggi, menandakan bahwa pembeli semakin kuat dan agresif, sehingga mendukung kelanjutan tren bullish dengan momentum yang semakin solid."
10,Dow Theory & Market Cycles,Sideways market biasanya ditandai oleh:,Breakout kuat,Range support dan resistance,Higher High terus-menerus,Lower Low berkelanjutan,B,"Sideways market biasanya ditandai oleh range support dan resistance karena harga bergerak secara horizontal dalam rentang terbatas, berulang kali memantul di level support (bawah) dan resistance (atas) tanpa membentuk higher high-higher low atau lower high-lower low yang jelas, mencerminkan kondisi pasar yang sedang konsolidasi atau tidak memiliki tren yang kuat."
